"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,,
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",-24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,,
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,,
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,,
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,,
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,,
3,25,1,2016-03-25,"AA","N382AA","5","DFW","HNL","1055","1119",24.00,24.00,"1439","1438",-1.00,0.00,0.00,"",524.00,499.00,478.00,3784.00,,,,,
3,1,2,2016-03-01,"AA","N793AA","1","JFK","LAX","0900","0852",8.00,0.00,"1234","1214",-20.00,0.00,0.00,"",394.00,382.00,355.00,2475.00,,,,,,
3,1,2,2016-03-01,"AA","N793AA","1","JFK","LAX","0900","0852",8.00,0.00,"1234","1214",-20.00,0.00,0.00,"",394.00,382.00,355.00,2475.00,,,,,,
3,1,2,2016-03-01,"AA","N793AA","1","JFK","LAX","0900","0852",8.00,0.00,"1234","1214",-20.00,0.00,0.00,"",394.00,382.00,355.00,2475.00,,,,,,
3,1,2,2016-03-01,"AA","N793AA","1","JFK","LAX","0900","0852",8.00,0.00,"1234","1214",-20.00,0.00,0.00,"",394.00,382.00,355.00,2475.00,,,,,,
3,1,2,2016-03-01,"AA","N793AA","1","JFK","LAX","0900","0852",-8.00,0.00,"1234","1214",-20.00,0.00,0.00,"",394.00,382.00,355.00,2475.00,,,,,,
3,1,2,2016-03-01,"AA","N793AA","1","JFK","LAX","0900","0852",8.00,0.00,"1234","1214",-20.00,0.00,0.00,"",394.00,382.00,355.00,2475.00,,,,,,
3,15,3,2016-03-15,"AA","N850AA","161","LAX","OGG","1720","1718",2.00,0.00,"2021","2022",1.00,1.00,0.00,"",361.00,364.00,328.00,2486.00,,,,,,
3,15,3,2016-03-15,"AA","N850AA","161","LAX","OGG","1720","1718",2.00,0.00,"2021","2022",1.00,1.00,0.00,"",361.00,364.00,328.00,2486.00,,,,,,
3,15,3,2016-03-15,"AA","N850AA","161","LAX","OGG","1720","1718",2.00,0.00,"2021","2022",1.00,1.00,0.00,"",361.00,364.00,328.00,2486.00,,,,,,
3,15,3,2016-03-15,"AA","N850AA","161","LAX","OGG","1720","1718",-2.00,0.00,"2021","2022",1.00,1.00,0.00,"",361.00,364.00,328.00,2486.00,,,,,,
3,15,3,2016-03-15,"AA","N850AA","161","LAX","OGG","1720","1718",2.00,0.00,"2021","2022",1.00,1.00,0.00,"",361.00,364.00,328.00,2486.00,,,,,,
3,27,4,2016-03-27,"AA","N3EYAA","304","LGA","ORD","0650","0642",8.00,0.00,"0837","0824",-13.00,0.00,0.00,"",167.00,162.00,124.00,733.00,,,,,,
3,27,4,2016-03-27,"AA","N3EYAA","304","LGA","ORD","0650","0642",-8.00,0.00,"0837","0824",-13.00,0.00,0.00,"",167.00,162.00,124.00,733.00,,,,,,
